title,genre,status,table,year,premiere_month,premiere_year,seasons_count,episodes_count,length_low,length_hi
A Little Help with Carol Burnett,variety show,Ended,11,2018,5.0,2018,1,12.0,21,29
Busted!,korean language variety show,Renewed,11,2018,5.0,2018,1,10.0,75,98
The Break with Michelle Wolf,late night,Ended,11,2018,5.0,2018,1,10.0,27,27
Norm Macdonald Has a Show,talk show,Ended,11,2018,9.0,2018,1,10.0,26,35
Patriot Act with Hasan Minhaj,talk show,Renewed,11,2018,10.0,2018,4,25.0,23,30
Lilyhammer,comedy drama,Ended,12,2012,2.0,2012,3,24.0,43,58
Between,science fiction drama,Ended,12,2015,5.0,2015,2,12.0,44,44
H2O: Mermaid Adventures,animation,Ended,12,2015,5.0,2015,2,26.0,24,24
Atelier,coming of age drama,Ended,12,2015,12.0,2015,1,13.0,43,51
Degrassi: Next Class,teen drama,Ended,12,2016,1.0,2016,4,40.0,24,24
Lost & Found Music Studios,musical teen drama,Ended,12,2016,4.0,2016,2,27.0,27,29
Good Morning Call,slice of life drama,Ended,12,2016,5.0,2016,2,27.0,43,49
Hibana: Spark,drama,Ended,12,2016,6.0,2016,1,10.0,46,60
The Cuba Libre Story,documentary,Ended,12,2016,12.0,2016,1,8.0,51,53
Bottersnikes and Gumbles,animation,Ended,12,2016,8.0,2016,2,52.0,12,12
Kazoops!,animation,Ended,12,2016,9.0,2016,3,26.0,19,21
Four Seasons in Havana,crime drama,Ended,12,2016,9.0,2016,1,4.0,86,96
Paranoid,thriller,Ended,12,2016,11.0,2016,1,8.0,42,45
Dirk Gently's Holistic Detective Agency,comic science fiction,Ended,12,2016,12.0,2016,2,18.0,41,53
Crazyhead,comedy,Ended,12,2016,12.0,2016,1,6.0,42,45
Travelers,science fiction drama,Ended,12,2016,12.0,2016,2,24.0,44,50
Samurai Gourmet,drama,Ended,12,2017,3.0,2017,1,12.0,16,24
Anne with an E,historical drama,Renewed,12,2017,5.0,2017,2,17.0,44,88
El Chapo,drama,Ended,12,2017,6.0,2017,3,34.0,39,55
Kantaro: The Sweet Tooth Salaryman,comedy,Ended,12,2017,7.0,2017,1,12.0,24,24
Million Yen Women,drama,Ended,12,2017,8.0,2017,1,12.0,24,24
Erased,supernatural mystery,Ended,12,2017,12.0,2017,1,12.0,26,32
The End of the F***ing World,comedy,Renewed,12,2018,1.0,2018,1,8.0,18,22
Mob Psycho 100,supernatural drama,Ended,12,2018,1.0,2018,1,12.0,26,26
Damnation,period drama,Ended,12,2018,2.0,2018,1,10.0,42,55
Requiem,supernatural thriller,Ended,12,2018,3.0,2018,1,6.0,57,58
Troy: Fall of a City,historical,Ended,12,2018,4.0,2018,1,8.0,57,58
The New Legends of Monkey,fantasy adventure,Ended,12,2018,4.0,2018,1,10.0,26,26
Safe,thriller,Ended,12,2018,5.0,2018,1,8.0,41,48
Kiss Me First,drama,Ended,12,2018,6.0,2018,1,6.0,46,48
I Am a Killer,docu series,Renewed,12,2018,8.0,2018,1,10.0,50,53
Wanderlust,drama,Ended,12,2018,10.0,2018,1,6.0,56,59
Nightflyers,science fiction,Ended,12,2019,2.0,2019,1,10.0,40,59
Undercover,crime drama,Renewed,12,2019,5.0,2019,1,10.0,46,54
Terrace House: Boys & Girls in the City,reality television,Ended,13,2015,9.0,2015,2,46.0,24,38
Terrace House: Aloha State,reality television,Ended,13,2016,11.0,2016,4,36.0,30,47
Ainori Love Wagon: Asian Journey,reality television,Ended,13,2017,10.0,2017,2,44.0,27,37
Terrace House: Opening New Doors,reality television,Ended,13,2017,12.0,2017,6,49.0,32,44
Terrace House: Tokyo 2019–2020,reality television,Renewed,13,2019,5.0,2019,2,19.0,35,57
